ID,Región,Comuna,Tipo Propiedad,Precio,Metros Totales,Metros Útiles,Habitaciones,Baños,Estacionamiento,Bodega,Año Construcción
2796,Valparaíso,Valparaíso,Terreno,348127762,158,150,1,2,No,Sí,1957
2797,Metropolitana,Las Condes,Departamento,37047548,257,247,3,2,No,Sí,1971
2798,Los Lagos,Puerto Montt,Terreno,409869789,42,28,3,3,No,Sí,2000
2799,Biobío,Concepción,Oficina,53653035,291,275,4,1,No,Sí,2001
2800,Valparaíso,Valparaíso,Terreno,384130291,118,110,1,3,Sí,No,1972
2801,Coquimbo,La Serena,Departamento,234648410,39,20,3,3,Sí,No,2010
2802,Metropolitana,Providencia,Terreno,119880491,294,269,5,1,Sí,Sí,1960
2803,Metropolitana,Providencia,Departamento,63004458,200,172,6,4,Sí,No,1969
2804,Metropolitana,Providencia,Casa,128901708,202,177,2,1,No,No,1958
2805,Los Lagos,Puerto Montt,Departamento,137093522,39,20,3,2,No,Sí,1965
2806,Valparaíso,Valparaíso,Oficina,310590270,196,173,6,2,Sí,No,2021
2807,Biobío,Los Ángeles,Departamento,400562107,270,260,1,4,No,Sí,1971
2808,Biobío,Los Ángeles,Terreno,232701243,280,251,1,2,No,Sí,1954
2809,Metropolitana,Santiago,Departamento,45046413,295,266,4,3,Sí,Sí,2003
2810,Valparaíso,Viña del Mar,Casa,166386938,168,160,5,2,Sí,No,1954
2811,Metropolitana,Providencia,Casa,341298240,112,95,5,2,No,Sí,1998
2812,Biobío,Concepción,Departamento,225596420,229,207,1,1,No,Sí,1989
2813,Biobío,Concepción,Departamento,291711352,270,262,6,3,No,Sí,2004
2814,Araucanía,Temuco,Terreno,172497773,135,113,3,4,Sí,Sí,1956
2815,Metropolitana,Santiago,Terreno,263570747,117,103,2,4,No,Sí,1998
2816,Valparaíso,Valparaíso,Terreno,267583365,91,77,4,1,Sí,No,1998
2817,Biobío,Los Ángeles,Terreno,198227818,89,81,2,1,No,Sí,1980
2818,Araucanía,Temuco,Departamento,182558706,291,272,6,1,No,No,2012
2819,Coquimbo,La Serena,Oficina,445280487,152,128,5,3,No,Sí,1988
2820,Araucanía,Temuco,Oficina,382694990,268,252,2,1,Sí,No,1971
2821,Metropolitana,Santiago,Casa,205262448,209,192,3,1,No,No,2020
2822,Metropolitana,Providencia,Terreno,285639300,45,40,6,3,No,Sí,1957
2823,Biobío,Concepción,Terreno,337366458,116,89,4,1,Sí,No,1954
2824,Biobío,Concepción,Departamento,208280403,127,121,2,3,Sí,Sí,2013
2825,Metropolitana,Providencia,Terreno,381337390,230,220,1,3,Sí,No,1999
2826,Valparaíso,Viña del Mar,Oficina,174070449,239,215,3,2,Sí,Sí,1993
2827,Araucanía,Temuco,Casa,120393556,194,178,2,2,No,Sí,2007
2828,Biobío,Los Ángeles,Terreno,292193198,69,42,3,4,Sí,No,1971
2829,Los Lagos,Puerto Montt,Terreno,265157081,248,237,4,2,No,Sí,2001
2830,Valparaíso,Viña del Mar,Oficina,111242999,112,98,5,3,No,Sí,2014
2831,Valparaíso,Viña del Mar,Departamento,40471581,298,281,6,1,Sí,No,1967
2832,Valparaíso,Viña del Mar,Casa,448857807,111,91,5,3,No,Sí,1958
2833,Biobío,Los Ángeles,Departamento,129167728,160,137,4,1,No,No,1957
2834,Coquimbo,La Serena,Terreno,302582672,50,28,5,3,Sí,No,1954
2835,Valparaíso,Viña del Mar,Oficina,139144233,236,220,1,3,No,No,2003
2836,Biobío,Los Ángeles,Oficina,326636126,71,59,6,3,Sí,No,1952
2837,Araucanía,Temuco,Oficina,446709542,152,137,4,3,No,No,1978
2838,Los Lagos,Puerto Montt,Casa,60742077,135,130,5,1,Sí,No,1953
2839,Los Lagos,Puerto Montt,Oficina,85824514,40,20,6,2,Sí,Sí,1995
2840,Metropolitana,Santiago,Oficina,112411816,117,91,1,3,No,No,1969
2841,Metropolitana,Las Condes,Casa,289219525,152,135,4,3,No,Sí,2019
2842,Araucanía,Temuco,Casa,206645367,89,64,5,2,No,No,1954
2843,Biobío,Los Ángeles,Departamento,446900138,292,262,5,2,Sí,Sí,1959
2844,Los Lagos,Puerto Montt,Oficina,36046131,257,249,4,2,No,No,1965
2845,Biobío,Concepción,Terreno,457465158,206,189,4,2,No,No,2018
2846,Valparaíso,Valparaíso,Terreno,432421186,284,257,6,2,No,Sí,1978
2847,Metropolitana,Santiago,Departamento,374041662,31,20,5,2,Sí,Sí,2020
2848,Valparaíso,Viña del Mar,Oficina,431874916,85,55,4,4,No,No,1999
2849,Biobío,Concepción,Casa,486186729,73,47,3,1,No,Sí,1977
2850,Los Lagos,Puerto Montt,Casa,78281154,203,198,4,1,No,No,1958
2851,Biobío,Los Ángeles,Departamento,139733241,166,142,6,2,No,Sí,1984
2852,Metropolitana,Providencia,Terreno,294537049,236,229,1,2,Sí,Sí,1952
2853,Biobío,Los Ángeles,Casa,258967669,161,140,3,1,No,Sí,1955
2854,Metropolitana,Santiago,Casa,153097984,148,141,5,2,No,No,1994
2855,Valparaíso,Valparaíso,Terreno,48968334,187,177,4,2,No,No,1966
2856,Biobío,Concepción,Casa,255612963,116,97,3,4,No,No,2012
2857,Metropolitana,Providencia,Terreno,246562570,31,22,4,3,No,Sí,1980
2858,Metropolitana,Santiago,Terreno,370499314,192,164,5,4,Sí,Sí,2023
2859,Metropolitana,Providencia,Departamento,389612828,156,142,6,2,Sí,Sí,2008
2860,Biobío,Concepción,Departamento,341939496,289,261,6,2,No,No,2014
2861,Metropolitana,Las Condes,Casa,265034869,300,282,2,1,Sí,Sí,1955
2862,Coquimbo,La Serena,Casa,243127121,53,38,2,3,Sí,Sí,1996
2863,Metropolitana,Santiago,Terreno,242922605,252,225,5,2,Sí,Sí,1966
2864,Biobío,Concepción,Oficina,184379352,277,272,6,3,No,No,1954
2865,Metropolitana,Santiago,Departamento,278629013,98,88,2,1,Sí,Sí,1983
2866,Los Lagos,Puerto Montt,Casa,440230339,244,227,6,3,No,No,1958
2867,Valparaíso,Viña del Mar,Departamento,251139015,161,154,6,4,No,Sí,2019
2868,Los Lagos,Puerto Montt,Departamento,474363575,144,123,2,2,No,Sí,2019
2869,Biobío,Concepción,Departamento,470364955,138,108,2,4,No,No,2008
2870,Metropolitana,Providencia,Oficina,77497939,57,34,3,1,Sí,Sí,2002
2871,Metropolitana,Santiago,Casa,166224269,59,36,5,4,No,No,2002
2872,Valparaíso,Viña del Mar,Terreno,451712455,211,202,4,4,No,Sí,1988
2873,Biobío,Los Ángeles,Departamento,243749079,180,151,3,4,No,No,2009
2874,Metropolitana,Las Condes,Terreno,346304336,226,220,1,3,No,Sí,1950
2875,Metropolitana,Santiago,Departamento,263823654,220,211,6,3,No,Sí,1994
2876,Coquimbo,La Serena,Casa,391703119,265,258,1,4,No,Sí,1988
2877,Los Lagos,Puerto Montt,Terreno,121035238,273,267,2,4,No,No,2003
2878,Valparaíso,Valparaíso,Casa,294497423,163,139,5,1,Sí,No,1983
2879,Araucanía,Temuco,Oficina,351159363,80,62,1,4,No,No,1962
2880,Biobío,Los Ángeles,Casa,420360550,109,93,2,3,Sí,No,2003
2881,Metropolitana,Providencia,Terreno,118794686,267,253,6,1,Sí,No,2014
2882,Biobío,Concepción,Casa,177394962,280,269,5,4,No,Sí,1992
2883,Araucanía,Temuco,Casa,162144777,205,177,5,4,No,Sí,1982
2884,Valparaíso,Valparaíso,Departamento,54105073,123,98,1,1,Sí,No,1964
2885,Araucanía,Temuco,Departamento,391264020,48,39,3,4,No,Sí,1971
2886,Metropolitana,Las Condes,Departamento,290621174,212,207,4,1,Sí,Sí,2021
2887,Metropolitana,Santiago,Departamento,455871916,54,46,2,2,Sí,Sí,1951
2888,Valparaíso,Valparaíso,Casa,440397808,47,37,2,2,Sí,No,1976
2889,Biobío,Los Ángeles,Departamento,52177057,59,29,4,2,No,Sí,1955
2890,Valparaíso,Valparaíso,Terreno,271038858,146,130,4,1,Sí,Sí,1967
2891,Araucanía,Temuco,Oficina,103531717,209,191,3,4,No,No,2001
2892,Valparaíso,Viña del Mar,Terreno,179531017,259,236,4,2,Sí,No,1973
2893,Araucanía,Temuco,Oficina,494119194,68,53,4,2,No,No,1979
2894,Metropolitana,Providencia,Oficina,320158690,216,186,5,1,No,Sí,2002
2895,Valparaíso,Viña del Mar,Oficina,199781082,37,25,3,1,Sí,Sí,1981
2896,Biobío,Los Ángeles,Oficina,402524074,261,244,4,3,No,No,1988
2897,Biobío,Los Ángeles,Oficina,436487544,246,229,1,1,Sí,No,1996
2898,Metropolitana,Las Condes,Departamento,317353636,196,174,1,4,Sí,No,1997
2899,Valparaíso,Viña del Mar,Casa,198185839,113,108,4,1,Sí,No,1986
2900,Araucanía,Temuco,Casa,433298743,37,20,3,3,Sí,Sí,1957
2901,Valparaíso,Viña del Mar,Casa,172282355,184,179,5,3,Sí,No,1983
2902,Metropolitana,Santiago,Departamento,116911668,216,203,6,2,Sí,No,2019
2903,Coquimbo,La Serena,Casa,458622941,144,115,6,4,Sí,No,1984
2904,Biobío,Los Ángeles,Terreno,148412039,84,62,6,4,Sí,No,1968
2905,Metropolitana,Providencia,Oficina,371778806,142,121,4,1,No,Sí,1955
2906,Biobío,Los Ángeles,Casa,170787666,119,92,1,4,Sí,Sí,2005
2907,Biobío,Concepción,Departamento,347822214,222,216,4,2,Sí,No,1971
2908,Metropolitana,Providencia,Departamento,37026813,212,203,6,3,No,Sí,1959
2909,Metropolitana,Santiago,Departamento,141829244,104,81,4,2,Sí,No,1953
2910,Valparaíso,Viña del Mar,Casa,294628987,290,282,1,1,Sí,Sí,1971
2911,Valparaíso,Valparaíso,Terreno,441666518,108,98,3,3,No,No,2006
2912,Metropolitana,Providencia,Oficina,497795965,261,246,1,4,Sí,No,1998
2913,Biobío,Concepción,Terreno,68200097,248,224,1,1,Sí,Sí,2019
2914,Valparaíso,Viña del Mar,Departamento,411570049,240,224,6,4,No,No,2015
2915,Biobío,Los Ángeles,Terreno,124452414,50,28,6,4,No,No,1966
2916,Los Lagos,Puerto Montt,Departamento,180438067,289,276,3,2,Sí,Sí,1992
2917,Valparaíso,Viña del Mar,Casa,411438117,212,186,3,2,No,No,1966
2918,Valparaíso,Viña del Mar,Departamento,60557032,53,34,5,1,Sí,No,1976
2919,Los Lagos,Puerto Montt,Casa,66922086,163,154,5,3,Sí,Sí,1952
2920,Coquimbo,La Serena,Departamento,178657145,43,29,5,3,Sí,Sí,1997
2921,Valparaíso,Valparaíso,Oficina,208909416,75,63,5,1,No,No,1959
2922,Biobío,Concepción,Departamento,477499326,277,247,2,3,No,Sí,1985
2923,Valparaíso,Valparaíso,Departamento,470350703,118,93,2,3,No,Sí,1958
2924,Metropolitana,Santiago,Oficina,378334930,81,76,2,2,Sí,Sí,2005
2925,Biobío,Concepción,Terreno,252589227,183,155,5,4,No,Sí,2001
2926,Metropolitana,Providencia,Departamento,190813322,148,140,5,1,No,Sí,1969
2927,Araucanía,Temuco,Casa,448973374,35,20,1,1,No,Sí,1990
2928,Metropolitana,Providencia,Departamento,130370111,42,29,1,4,No,No,1963
2929,Biobío,Los Ángeles,Oficina,92670589,299,282,2,3,Sí,No,1973
2930,Metropolitana,Santiago,Casa,305594978,129,113,5,3,No,Sí,2018
2931,Los Lagos,Puerto Montt,Departamento,43526940,80,61,6,2,No,No,1951
2932,Metropolitana,Santiago,Casa,486482406,126,106,2,3,No,Sí,1975
2933,Metropolitana,Santiago,Oficina,173514597,96,69,2,4,Sí,No,2018
2934,Araucanía,Temuco,Casa,296430583,142,136,1,4,Sí,Sí,1989
2935,Biobío,Los Ángeles,Oficina,205566783,80,73,4,3,Sí,No,2016
2936,Biobío,Concepción,Departamento,426802216,127,98,6,1,No,Sí,1964
2937,Metropolitana,Santiago,Oficina,492214234,246,232,1,3,Sí,No,2017
2938,Coquimbo,La Serena,Casa,413743268,181,165,4,1,Sí,No,1989
2939,Biobío,Los Ángeles,Casa,338887550,41,25,5,4,No,Sí,1958
2940,Biobío,Concepción,Casa,416459195,65,56,6,4,No,No,2003
2941,Metropolitana,Las Condes,Casa,410674975,202,197,4,1,No,No,2016
2942,Metropolitana,Las Condes,Terreno,386330212,290,260,1,3,No,No,1999
2943,Araucanía,Temuco,Terreno,69204078,143,130,2,2,No,No,1974
2944,Valparaíso,Valparaíso,Departamento,351447758,205,185,2,1,No,No,1981
2945,Biobío,Concepción,Oficina,349017285,94,72,4,2,No,No,1962
2946,Araucanía,Temuco,Casa,348664084,137,126,2,3,No,No,1987
2947,Araucanía,Temuco,Departamento,446653207,251,246,6,4,No,No,1960
2948,Araucanía,Temuco,Oficina,380419953,152,137,3,4,No,No,2007
2949,Metropolitana,Providencia,Oficina,149953356,81,51,5,4,No,No,1995
2950,Coquimbo,La Serena,Oficina,427036156,204,197,3,4,No,No,1981
2951,Los Lagos,Puerto Montt,Casa,466975473,277,270,6,2,Sí,No,1975
2952,Metropolitana,Las Condes,Terreno,292497808,90,61,4,1,Sí,Sí,1975
2953,Valparaíso,Valparaíso,Oficina,96783899,200,171,4,3,No,No,1979
2954,Biobío,Los Ángeles,Terreno,400000239,259,248,5,4,No,No,2003
2955,Metropolitana,Providencia,Terreno,324220475,58,37,2,2,Sí,No,1996
2956,Valparaíso,Viña del Mar,Casa,344483660,239,213,2,2,No,No,1986
2957,Los Lagos,Puerto Montt,Oficina,230709321,40,20,1,2,Sí,Sí,1981
2958,Metropolitana,Las Condes,Departamento,167249840,123,96,2,3,No,Sí,1979
2959,Biobío,Concepción,Terreno,263386889,275,266,6,2,Sí,No,1986
2960,Biobío,Los Ángeles,Oficina,442690465,34,20,1,1,No,Sí,1980
2961,Los Lagos,Puerto Montt,Departamento,415946204,74,55,2,2,No,No,1961
2962,Valparaíso,Viña del Mar,Departamento,67656084,40,24,3,4,No,No,2019
2963,Los Lagos,Puerto Montt,Departamento,170531655,239,214,6,4,No,No,1959
2964,Los Lagos,Puerto Montt,Oficina,397355951,194,170,3,2,Sí,No,1986
2965,Biobío,Concepción,Casa,347199175,122,95,2,1,Sí,No,2007
2966,Biobío,Concepción,Oficina,184963008,83,77,4,2,No,No,2017
2967,Los Lagos,Puerto Montt,Oficina,382819901,124,117,4,3,No,No,1981
2968,Biobío,Los Ángeles,Oficina,292322682,77,69,3,4,No,No,1987
2969,Valparaíso,Valparaíso,Departamento,378302386,45,21,3,2,No,Sí,1990
2970,Metropolitana,Santiago,Terreno,261317543,259,243,5,1,Sí,Sí,2002
2971,Metropolitana,Santiago,Departamento,117991861,84,71,2,1,No,Sí,2016
2972,Valparaíso,Valparaíso,Terreno,349341138,90,82,3,3,Sí,No,1962
2973,Metropolitana,Las Condes,Terreno,490670120,92,73,1,2,Sí,No,2004
2974,Araucanía,Temuco,Oficina,309678263,72,44,5,2,Sí,Sí,2014
2975,Valparaíso,Viña del Mar,Terreno,44577487,189,180,3,4,No,No,2007
2976,Valparaíso,Viña del Mar,Casa,300786268,257,232,1,4,Sí,Sí,1970
2977,Metropolitana,Las Condes,Terreno,469886771,108,95,1,4,Sí,Sí,1974
2978,Los Lagos,Puerto Montt,Departamento,307790175,222,205,6,2,No,Sí,1993
2979,Valparaíso,Valparaíso,Oficina,181029373,153,145,6,3,Sí,No,2020
2980,Biobío,Los Ángeles,Terreno,463413636,116,90,5,4,Sí,No,2015
2981,Coquimbo,La Serena,Oficina,138723230,199,177,2,1,Sí,Sí,1998
2982,Biobío,Los Ángeles,Terreno,36790245,203,191,4,2,No,No,2018
2983,Biobío,Concepción,Terreno,406812287,215,204,2,2,No,No,1973
2984,Los Lagos,Puerto Montt,Oficina,395349670,106,84,4,4,No,Sí,1995
2985,Valparaíso,Viña del Mar,Terreno,470682127,135,113,3,3,Sí,No,1998
2986,Metropolitana,Las Condes,Departamento,158439894,47,33,2,3,Sí,Sí,1979
2987,Metropolitana,Providencia,Oficina,122593014,279,251,4,2,No,No,1974
2988,Biobío,Concepción,Departamento,400592807,225,199,5,3,Sí,No,1978
2989,Araucanía,Temuco,Casa,312252659,217,201,2,3,No,No,2016
2990,Biobío,Los Ángeles,Oficina,142320835,96,87,4,2,Sí,Sí,1956
2991,Biobío,Concepción,Departamento,147468407,163,151,6,2,Sí,Sí,2008
2992,Biobío,Concepción,Casa,126493459,263,238,4,4,Sí,Sí,1960
2993,Coquimbo,La Serena,Oficina,172220131,273,260,3,3,Sí,No,2018
2994,Metropolitana,Santiago,Oficina,153165344,168,160,5,4,Sí,Sí,1998
2995,Metropolitana,Santiago,Casa,494635357,63,43,2,2,Sí,Sí,1991
2996,Coquimbo,La Serena,Departamento,97662439,118,97,2,2,No,No,2020
2997,Valparaíso,Viña del Mar,Casa,343746072,277,249,2,1,Sí,No,2021
2998,Valparaíso,Viña del Mar,Terreno,222893728,178,164,3,3,Sí,Sí,2023
2999,Araucanía,Temuco,Casa,489271601,119,90,5,4,Sí,No,1976
3000,Metropolitana,Providencia,Oficina,345697765,86,59,1,2,No,No,1996
3001,Valparaíso,Viña del Mar,Casa,34180896,46,30,5,3,No,Sí,1961
3002,Araucanía,Temuco,Casa,290908451,128,108,6,2,No,Sí,1992
3003,Los Lagos,Puerto Montt,Terreno,462602674,244,237,5,3,Sí,Sí,2019
3004,Biobío,Los Ángeles,Terreno,70267959,260,234,4,4,No,Sí,1959
3005,Araucanía,Temuco,Terreno,473841454,42,28,6,4,No,No,2009
3006,Biobío,Concepción,Oficina,279183416,178,149,6,4,Sí,Sí,2020
3007,Metropolitana,Santiago,Casa,47350297,270,258,1,4,Sí,Sí,1973
3008,Metropolitana,Las Condes,Oficina,320151091,206,185,6,3,Sí,Sí,2017
3009,Coquimbo,La Serena,Terreno,490443026,256,243,4,2,Sí,No,1957
3010,Valparaíso,Viña del Mar,Terreno,133558821,32,20,4,4,No,No,1990
3011,Valparaíso,Viña del Mar,Casa,234885534,235,206,3,1,No,No,2002
3012,Metropolitana,Las Condes,Casa,316355502,273,259,2,3,No,Sí,1992
3013,Coquimbo,La Serena,Departamento,498309304,195,181,2,1,Sí,Sí,1951
3014,Metropolitana,Providencia,Casa,85642028,77,55,3,2,No,Sí,2014
3015,Metropolitana,Providencia,Casa,314457755,36,20,4,4,Sí,Sí,2006
3016,Metropolitana,Santiago,Casa,305704010,86,70,6,2,Sí,Sí,1951
3017,Biobío,Los Ángeles,Departamento,355306087,63,48,2,4,Sí,Sí,2004
3018,Araucanía,Temuco,Departamento,58081720,123,95,1,3,Sí,No,1997
3019,Biobío,Los Ángeles,Casa,217054034,225,196,3,3,Sí,Sí,1978
3020,Coquimbo,La Serena,Terreno,481268823,280,258,3,4,Sí,No,1995
3021,Coquimbo,La Serena,Terreno,331855810,143,124,4,4,No,Sí,1961
3022,Valparaíso,Viña del Mar,Casa,83494010,57,27,1,2,No,Sí,2002
3023,Coquimbo,La Serena,Casa,161666484,130,100,4,2,Sí,No,2014
3024,Metropolitana,Santiago,Terreno,301570537,183,176,4,3,No,Sí,1995
3025,Los Lagos,Puerto Montt,Oficina,276884524,128,99,1,4,No,No,1981
3026,Araucanía,Temuco,Casa,466698551,214,184,4,4,No,Sí,1988
3027,Metropolitana,Santiago,Terreno,400348341,275,246,2,2,Sí,No,1982
3028,Metropolitana,Providencia,Casa,247025048,267,241,3,4,No,No,1952
3029,Valparaíso,Viña del Mar,Departamento,36565125,241,217,5,4,Sí,No,1952
3030,Valparaíso,Viña del Mar,Oficina,377007275,265,252,1,2,No,Sí,2005
3031,Coquimbo,La Serena,Terreno,437260606,291,274,1,2,Sí,No,1974
3032,Biobío,Concepción,Departamento,275314895,136,113,6,2,Sí,Sí,1964
3033,Araucanía,Temuco,Departamento,417144773,100,89,6,2,Sí,No,1970
3034,Metropolitana,Providencia,Casa,271144474,118,107,4,1,Sí,No,1977
3035,Metropolitana,Las Condes,Terreno,71839539,246,229,3,3,Sí,Sí,1996
3036,Araucanía,Temuco,Terreno,169250754,102,95,4,4,No,No,1979
3037,Metropolitana,Santiago,Oficina,47135277,239,224,6,3,No,No,1990
3038,Coquimbo,La Serena,Departamento,404411183,207,202,6,3,No,No,1956
3039,Coquimbo,La Serena,Oficina,378917059,108,90,5,2,Sí,Sí,1955
3040,Valparaíso,Viña del Mar,Casa,175366868,150,123,1,3,No,No,1954
3041,Metropolitana,Providencia,Casa,354830969,284,272,3,1,No,No,1977
3042,Metropolitana,Las Condes,Oficina,92287973,97,68,2,1,No,Sí,1958
3043,Metropolitana,Las Condes,Terreno,109580562,275,264,6,3,Sí,Sí,2023
3044,Metropolitana,Providencia,Terreno,101421293,272,250,6,1,Sí,No,2016
3045,Metropolitana,Providencia,Casa,221937077,65,35,3,2,Sí,Sí,2018
3046,Araucanía,Temuco,Terreno,166415836,215,205,2,1,Sí,Sí,2016
3047,Biobío,Concepción,Departamento,388453882,59,38,1,1,No,Sí,2004
3048,Metropolitana,Providencia,Oficina,124577686,138,124,2,2,No,Sí,1964
3049,Metropolitana,Santiago,Oficina,421555738,126,106,3,2,No,Sí,1973
3050,Metropolitana,Santiago,Departamento,466577193,111,96,6,3,No,No,2019
3051,Metropolitana,Providencia,Departamento,454309602,169,142,1,1,Sí,No,1953
3052,Valparaíso,Valparaíso,Casa,434309605,139,132,6,2,Sí,Sí,1972
3053,Metropolitana,Providencia,Terreno,186955911,89,63,1,3,Sí,No,2009
3054,Metropolitana,Providencia,Departamento,185910913,171,145,5,4,No,No,1964
3055,Metropolitana,Santiago,Oficina,101398689,42,32,4,3,No,Sí,1951
3056,Valparaíso,Viña del Mar,Departamento,493990629,97,90,5,4,Sí,Sí,1962
3057,Valparaíso,Viña del Mar,Oficina,464205082,114,91,2,4,Sí,Sí,1959
3058,Valparaíso,Valparaíso,Terreno,432539072,267,249,1,1,No,No,1957
3059,Valparaíso,Viña del Mar,Terreno,188083062,72,67,6,2,Sí,Sí,1957
3060,Valparaíso,Viña del Mar,Oficina,173872164,286,263,2,2,No,No,1965
3061,Metropolitana,Las Condes,Casa,240383578,149,138,3,2,Sí,Sí,1987
3062,Araucanía,Temuco,Departamento,190810457,285,266,2,4,No,Sí,1966
3063,Los Lagos,Puerto Montt,Oficina,78241527,53,36,4,2,No,Sí,1961
3064,Coquimbo,La Serena,Casa,363045382,165,157,4,1,Sí,Sí,1991
3065,Araucanía,Temuco,Casa,259543542,257,250,3,3,No,Sí,1977
3066,Metropolitana,Santiago,Casa,256642046,95,76,2,3,Sí,No,1958
3067,Biobío,Concepción,Casa,316677430,39,26,3,4,Sí,Sí,1975
3068,Metropolitana,Santiago,Terreno,161812819,123,117,4,2,Sí,No,2001
3069,Metropolitana,Las Condes,Casa,33885886,299,289,2,4,Sí,Sí,1978
3070,Valparaíso,Valparaíso,Terreno,471244873,222,198,4,4,No,Sí,2013
3071,Biobío,Concepción,Departamento,254846522,256,239,2,2,No,Sí,1955
3072,Biobío,Concepción,Casa,190498747,103,87,2,4,Sí,No,1961
3073,Metropolitana,Las Condes,Departamento,495495232,200,172,4,1,Sí,Sí,1950
3074,Valparaíso,Valparaíso,Departamento,326598001,289,267,6,4,No,No,2016
3075,Valparaíso,Valparaíso,Terreno,229360458,168,139,3,3,No,No,1992
3076,Metropolitana,Providencia,Oficina,89939343,236,222,1,3,No,No,2001
3077,Valparaíso,Valparaíso,Terreno,241085454,146,128,4,3,Sí,Sí,2021
3078,Biobío,Concepción,Oficina,257423147,52,44,1,2,Sí,No,1961
3079,Valparaíso,Viña del Mar,Casa,474580391,257,240,5,4,No,No,1965
3080,Los Lagos,Puerto Montt,Oficina,294364733,95,65,6,3,Sí,Sí,2014
3081,Metropolitana,Las Condes,Oficina,375762937,177,165,2,2,Sí,No,2014
3082,Araucanía,Temuco,Casa,436500323,121,116,1,1,No,No,2016
3083,Valparaíso,Viña del Mar,Terreno,364486672,135,115,1,3,No,Sí,1997
3084,Metropolitana,Providencia,Departamento,161069719,95,85,1,2,No,Sí,1960
3085,Metropolitana,Las Condes,Casa,305673178,154,134,4,2,Sí,Sí,2016
3086,Coquimbo,La Serena,Terreno,241455171,260,230,4,3,Sí,No,1992
3087,Biobío,Los Ángeles,Departamento,430362940,112,96,2,2,No,No,2020
3088,Metropolitana,Santiago,Oficina,91600067,137,118,4,3,Sí,No,2015
3089,Valparaíso,Valparaíso,Departamento,31594255,189,175,5,3,Sí,Sí,1992
3090,Valparaíso,Viña del Mar,Oficina,212641107,47,22,2,1,No,No,1981
3091,Valparaíso,Valparaíso,Terreno,173900307,37,20,5,1,Sí,No,2007
3092,Valparaíso,Valparaíso,Terreno,57499459,100,71,6,3,Sí,Sí,1950
3093,Biobío,Concepción,Oficina,117187164,59,38,5,4,No,No,2012
3094,Araucanía,Temuco,Oficina,282482873,268,253,2,4,No,No,1973
3095,Valparaíso,Valparaíso,Casa,317866057,146,126,6,3,Sí,No,2022
3096,Valparaíso,Valparaíso,Casa,221110593,47,40,6,4,No,No,1987
3097,Biobío,Concepción,Oficina,484261056,197,184,3,3,Sí,Sí,2016
3098,Araucanía,Temuco,Departamento,78146501,173,154,1,2,Sí,No,2007
3099,Metropolitana,Las Condes,Terreno,299016289,83,57,4,3,No,Sí,2013
3100,Valparaíso,Viña del Mar,Oficina,181876537,265,254,2,3,No,Sí,1951
3101,Biobío,Concepción,Casa,444333797,190,167,2,3,No,Sí,2004
3102,Biobío,Concepción,Oficina,180952950,210,188,5,1,No,No,2004
3103,Metropolitana,Las Condes,Casa,365738315,104,74,6,1,No,Sí,1959
3104,Metropolitana,Providencia,Oficina,282502378,114,84,2,2,Sí,Sí,1997
3105,Metropolitana,Las Condes,Casa,325939165,224,200,2,3,Sí,Sí,1971
3106,Biobío,Concepción,Departamento,343224817,87,61,2,4,No,Sí,1954
3107,Valparaíso,Viña del Mar,Departamento,157683857,259,253,6,4,No,No,1983
3108,Coquimbo,La Serena,Casa,436275439,139,132,2,3,Sí,No,1991
3109,Los Lagos,Puerto Montt,Casa,206688625,204,179,4,1,No,Sí,1954
3110,Valparaíso,Viña del Mar,Oficina,417276813,286,272,3,1,Sí,No,1962
3111,Valparaíso,Viña del Mar,Departamento,156744801,256,245,4,3,Sí,Sí,1999
3112,Biobío,Los Ángeles,Terreno,319581647,75,55,1,4,Sí,No,2010
3113,Valparaíso,Valparaíso,Departamento,430996172,214,189,1,3,Sí,Sí,1951
3114,Araucanía,Temuco,Departamento,33715596,150,137,5,2,No,No,1954
3115,Los Lagos,Puerto Montt,Terreno,35305213,202,175,6,4,No,Sí,1962
3116,Biobío,Concepción,Casa,111754349,31,21,3,2,No,No,1951
3117,Metropolitana,Providencia,Terreno,472318010,117,92,4,4,Sí,Sí,1988
3118,Metropolitana,Las Condes,Oficina,471628741,78,63,4,4,No,No,1993
3119,Valparaíso,Viña del Mar,Oficina,71159127,61,49,1,4,Sí,No,1965
3120,Biobío,Los Ángeles,Casa,484877149,237,223,4,2,No,No,1987
3121,Valparaíso,Viña del Mar,Terreno,236289606,227,202,2,1,Sí,No,2017
3122,Coquimbo,La Serena,Oficina,192184561,152,144,6,4,No,Sí,2020
3123,Coquimbo,La Serena,Oficina,31864130,85,56,4,2,Sí,Sí,2010
3124,Araucanía,Temuco,Oficina,218142885,185,174,6,2,No,No,2016
3125,Metropolitana,Las Condes,Terreno,373101222,300,285,2,3,Sí,No,1959
3126,Metropolitana,Las Condes,Terreno,250776950,123,112,6,3,No,Sí,1963
3127,Metropolitana,Santiago,Departamento,116316770,243,238,3,3,No,Sí,2019
3128,Metropolitana,Providencia,Casa,330731040,150,141,4,4,Sí,Sí,2022
3129,Los Lagos,Puerto Montt,Terreno,189725822,186,157,5,1,Sí,Sí,2005
3130,Metropolitana,Las Condes,Oficina,289704964,104,83,3,1,No,No,2008
3131,Coquimbo,La Serena,Departamento,440228090,112,90,2,4,Sí,Sí,2008
